latitudeE7,longitudeE7,placeId,address,name,locationConfidence,calibratedProbability
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,52.69231,44.115524
534834310,-22415316,ChIJkZ-NKsexe0gR5NU8jrpD-Hs,"Manchester M4 3AD, UK",Manchester Arndale,74.767746,56.373615
534570779,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,78.9415,72.4107
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,54.792755,47.895763
534587243,-22269084,ChIJ7Sx5q4mxe0gRD50UIiEMjLE,"Wilmslow Park, Wilmslow Rd, Rusholme, Manchester M13 0JN, UK",Tesco Express,54.72195,38.542305
534570779,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,57.8093,47.969948
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,72.48794,64.019905
534570779,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,66.390884,50.773487
534567031,-22256166,ChIJIaxyJoixe0gRagWitKsEQnQ,"37-39 Wilmslow Rd, Rusholme, Manchester M14 5TB, UK",Superb Barbers,19.249485,13.227792
534587243,-22269084,ChIJ7Sx5q4mxe0gRD50UIiEMjLE,"Wilmslow Park, Wilmslow Rd, Rusholme, Manchester M13 0JN, UK",Tesco Express,57.407997,27.617908
534570779,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,53.858505,45.240906
534875407,-22421815,ChIJ7Uj0M8axe0gRsNV10bhsBew,"Victoria Station Approach, Manchester M3 1WY, UK",Manchester Victoria,94.535675,80.95566
538215720,-16078025,ChIJl_7usNdYeUgRUyBzxq4VchQ,"Abbey Rd, Kirkstall, Leeds LS5 3EH, UK",Kirkstall Abbey,96.35544,82.97992
537778162,-15721446,ChIJk61OZ4xeeUgRKirQ_9qvQXg,"Elland Rd, Beeston, Leeds LS11 0ES, UK",Elland Road,95.49229,81.42409
537997175,-15393426,ChIJ8aE4ZRpceUgR9qoktf4NQLg,"114-116 Vicar Ln, Leeds LS2 7NL, UK",Pizza Fella,64.905655,27.898045
538015937,-15469284,ChIJwdWI4RxceUgRFF7zMoxhXQE,"Millennium Square, Leeds LS2 8BH, UK",Leeds City Museum,98.58863,87.11186
538026094,-15371732,ChIJ4dsCGRBceUgRZCDgjS-Yx98,"Woodhouse, Leeds LS2 7PN, UK",Lovell Park,84.02954,63.37295
538110718,-15302543,ChIJH8XD5tNdeUgRZ6gXgcLuoWU,"47 Barrack Rd, Leeds LS7 4AB, UK","Science of the Soul Study Centre (RSSB), Leeds",95.910736,81.60484
538425203,-15296731,ChIJq6QnasdbeUgRL3IXWR3umAY,"10 Green Park, Moortown, Leeds LS17 6SZ, UK",,31.267813,25.476883
537949721,-15473907,ChIJJev0_R5ceUgRmMmbNFHANIo,"New Station St, Leeds LS1 4DY, UK",Leeds,92.64829,77.56823
534875407,-22421815,ChIJ7Uj0M8axe0gRsNV10bhsBew,"Victoria Station Approach, Manchester M3 1WY, UK",Manchester Victoria,96.99177,89.373085
534570779,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,73.56713,74.13916
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,88.31561,54.95323
534813121,-22418715,ChIJaWy6HcGxe0gRRY8pbf-bxlY,"Tootal House, 19 Spring Gardens, Manchester M2 1FB, UK",Digital Gurus,98.0028,88.12663
534751304,-22380814,ChIJjXWe1eqxe0gRX4vwRxEHe0U,"113, Manchester M1 6BD, UK",Asia House,54.291885,47.274437
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,34.00434,16.630083
534570779,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,53.234283,44.255215
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,78.13369,90.42281
534627151,-22293754,ChIJeW2NyI2xe0gRT8uNStURYOQ,"413, 419 Oxford Rd, Manchester M13 9WG, UK",McDonald's,90.85982,73.772285
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,81.520645,71.851006
534587243,-22269084,ChIJ7Sx5q4mxe0gRD50UIiEMjLE,"Wilmslow Park, Wilmslow Rd, Rusholme, Manchester M13 0JN, UK",Tesco Express,31.788567,24.115456
534721840,-22385953,ChIJD1jxkOyxe0gR15ZrbaKCwOU,"103, Oxford House, Oxford Rd, Manchester M1 7ED, UK",Manchester Technology Centre,95.73954,89.63933
534575462,-22154031,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Road, Manchester M14 5ET, United Kingdom",,59.513443,50.51808
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,57.892586,49.63577
534845927,-22436634,ChIJ2QaGwMaxe0gRnO4pY9TDR7A,"Exchange Sq, Corporation St, Manchester M3 1BD, UK","1, Exchange Square Central, High St, Manchester M3 1BD",86.23532,72.707756
534803332,-22460735,ChIJ83fSMsKxe0gRKgkfxl0EAHI,"Manchester M2 6LE, UK",St James Square,95.88755,87.349434
534709891,-22939516,ChIJPcPNJz6ue0gRo-h8CWurwVo,"Salford, Manchester M50 3UB, UK",The Quays,60.81756,39.860065
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,78.814156,69.86989
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,89.854515,90.72035
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,89.2558,80.09868
534590963,-22270567,ChIJT4Z9_4ixe0gROaXtFAacD9c,"211 Hathersage Rd, Rusholme, Manchester M13 0JQ, UK",Poundland,47.90112,32.158764
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,68.53028,58.983128
534590963,-22270567,ChIJT4Z9_4ixe0gROaXtFAacD9c,"211 Hathersage Rd, Rusholme, Manchester M13 0JQ, UK",Poundland,91.5167,82.93575
534573941,-22269376,ChIJQTEfW_Gxe0gRaMgRE5iQIAU,"401 Great Western St, Rusholme, Manchester M14 4AH, UK",Worldwide Foods Rusholme,91.0,73.02289
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,75.40409,64.613014
534567031,-22256166,ChIJIaxyJoixe0gRagWitKsEQnQ,"37-39 Wilmslow Rd, Rusholme, Manchester M14 5TB, UK",Superb Barbers,64.263214,54.76592
534570024,-22165696,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,83.56422,75.735
